,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7819878396386989,0.8310423825887744,0.8800969255388499,0.7090909090909091,0.6296296296296295,0.4505750956545168,0.6252642199038568,0.7485768500948767,0.8718894802858966,0.6615384615384615,0.6071428571428571,0.32143534826144193
1,1,LGBM,0.7226313419285734,0.7816596665393916,0.8406879911502098,0.6472727272727272,0.5488372093023256,0.3117093449316028,0.6405521916977194,0.7618595825426945,0.8831669733876696,0.6461538461538462,0.5106382978723403,0.31242084541423226
2,2,LGBM,0.7467190118382951,0.8009891969282833,0.8552593820182715,0.6581818181818182,0.584070796460177,0.3887097523136392,0.6023468165471936,0.7258064516129034,0.8492660866786131,0.6615384615384615,0.5769230769230769,0.3283134835235491
3,3,LGBM,0.7212072777855562,0.7764896534530041,0.8317720291204521,0.6763636363636364,0.5898617511520737,0.3692746955537143,0.5873398853922118,0.7153700189753319,0.843400152558452,0.6461538461538462,0.5660377358490567,0.29342813054936995
4,4,LGBM,0.6931778670056677,0.7548717948717948,0.8165657227379218,0.6436363636363637,0.5288461538461539,0.28512717861608006,0.6052902214842195,0.7296015180265655,0.8539128145689114,0.6153846153846154,0.5283018867924528,0.22833315278244487
5,5,LGBM,0.7570905321436359,0.8106802208835342,0.8642699096234325,0.6836363636363636,0.6098654708520179,0.40795540837546934,0.6400232105505519,0.7599620493358633,0.8799008881211747,0.7538461538461538,0.7037037037037037,0.5173228176742486
6,6,LGBM,0.7731425429481158,0.8245341614906834,0.875925780033251,0.730909090909091,0.6636363636363637,0.46941484006230955,0.6172725017392919,0.7400379506641367,0.8628033995889814,0.7076923076923077,0.6415094339622641,0.4236180860832201
7,7,LGBM,0.7027247672079193,0.7624148606811144,0.8221049541543095,0.64,0.575107296137339,0.33547915000725687,0.6069236929639155,0.7314990512333964,0.8560744095028774,0.6615384615384615,0.5769230769230769,0.3283134835235491
8,8,LGBM,0.7357707346359582,0.790461432506887,0.8451521303778159,0.6690909090909091,0.6255144032921811,0.3664703126550465,0.5819095382015022,0.7096774193548389,0.8374453005081756,0.676923076923077,0.5882352941176471,0.3644909863166043
9,9,LGBM,0.7338013452990558,0.7903780068728522,0.8469546684466486,0.6872727272727273,0.5981308411214953,0.39629312283775564,0.5809537187294904,0.708728652751423,0.8365035867733557,0.6307692307692307,0.5384615384615384,0.26244812417468893
