,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
LGBM_SMOTE_SP2_B,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T
LGBM_IHT_SP2_SS,AL_T,AL_T,AL_T,AL_T,AL_T,N_AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_ADASYN_SP2_B,AL_F,AL_F,AL_F,AL_T,AL_F,AL_T,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T
LGBM_N_SP1_TTS,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_N_SP2_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_CNN_SF_TTS,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_F,N_AL_F,AL_F
LGBM_N_SP1_B,AL_F,AL_F,AL_F,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_ADASYN_SP2_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_SMOTE_SF_B,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,N_AL_F,AL_T
LGBM_CNN_SP2_TTS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_CNN_SP2_B,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_N_SF_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_SMOTE_SP2_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_IHT_SF_TTS,AL_F,AL_F,AL_F,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,N_AL_F,N_AL_T,AL_F
LGBM_SMOTE_SF_TTS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,N_AL_F,AL_T
LGBM_IHT_SP2_TTS,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_N_SP1_SS,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_CNN_SF_B,AL_F,AL_F,AL_F,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_F,N_AL_F,AL_T
LGBM_ADASYN_SF_B,AL_F,AL_T,AL_T,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T
LGBM_ADASYN_SF_SS,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_N_SP2_TTS,AL_F,AL_F,AL_F,AL_F,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_N_SF_TTS,AL_F,AL_F,AL_F,AL_T,AL_F,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_SMOTE_SF_SS,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_N_SP2_B,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_IHT_SF_B,AL_F,AL_F,AL_F,AL_T,AL_F,AL_T,AL_T,AL_T,AL_T,N_AL_F,N_AL_T,AL_F
LGBM_SMOTE_SP2_TTS,AL_F,AL_F,AL_F,AL_F,AL_T,AL_F,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T
LGBM_N_SF_B,AL_F,AL_F,AL_F,AL_F,AL_F,AL_F,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T
LGBM_CNN_SP2_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_IHT_SF_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_F,AL_F,AL_F,N_AL_T,AL_T,N_AL_T
LGBM_ADASYN_SF_TTS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_F,AL_T
LGBM_ADASYN_SP2_TTS,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T
LGBM_CNN_SF_SS,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
LGBM_IHT_SP2_B,AL_F,AL_F,AL_F,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T,AL_T
